bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,
34889,Brown's Star Atlas: Showing All The Bright Stars With Full Instructions How To Find And Use Them For Navigational Purposes And Department Of Trade Examinations.,Brown, Son & Ferguson,0,851742718,9.78E+12,eng,49,0,0,05-01-1977,Brown Son & Ferguson Ltd.
22128,Patriots (The Coming Collapse),James Wesley, Rawles,3.63,156384155X,9.78E+12,eng,342,38,4,1/15/1999,Huntington House Publishers
16914,The Tolkien Fan's Medieval Reader,David E. Smith (Turgon of TheOneRing.net, one of the founding members of this Tolkien website)/Verlyn Flieger/Turgon (=David E. Smith),3.58,1593600119,9.78E+12,eng,400,26,4,04-06-2004,Cold Spring Press
12224,Streetcar Suburbs: The Process of Growth in Boston  1870-1900,Sam Bass Warner, Jr./Sam B. Warner,3.58,674842111,9.78E+12,en-US,236,61,6,4/20/2004,Harvard University Press
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,5,198145047,9.78E+12,grc,364,0,0,2/22/1922,Oxford University Press  USA,
2560,Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5,382960226X,9.78E+12,eng,83,1,0,09-01-2006,Schirmer Mosel,
2843,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5,439271711,9.78E+12,eng,32,4,1,01-01-2002,Teaching Resources,
4287,Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5,738511676,9.78E+12,eng,128,2,0,3/17/2003,Arcadia Publishing,
14741,Zone of the Enders: The 2nd Runner Official Strategy Guide,Tim Bogenn,5,744002354,9.78E+12,eng,128,2,0,03-06-2003,BradyGames,
17224,The Diamond Color Meditation: Color Pathway to the Soul,John  Diamond,5,1890995525,9.78E+12,eng,74,5,3,02-01-2006,Square One Publishers,
17830,Bulgakov's the Master and Margarita: The Text as a Cipher,Elena N. Mahlow,5,533017424,9.78E+12,eng,202,4,0,01-01-1975,Vantage Press,
18184,The Complete Theory Fun Factory: Music Theory Puzzles and Games for the Early Grades,Ian        Martin/Katie Elliott,5,851621813,9.78E+12,eng,96,1,0,06-01-2004,Boosey & Hawkes Inc,
19786,The Goon Show  Volume 4: My Knees Have Fallen Off!,NOT A BOOK,5,563388692,9.78E+12,eng,2,3,0,04-01-1996,BBC Physical Audio,
19788,The Goon Show  Volume 11: He's Fallen in the Water!,NOT A BOOK,5,563388323,9.78E+12,eng,2,2,0,10-02-1995,BBC Physical Audio,
20954,Winchester Shotguns,Dennis Adler/R.L. Wilson,5,785821082,9.78E+12,eng,372,2,0,5/15/2008,Chartwell Books,
20957,Colossians and Philemon: A Critical and Exegetical Commentary (International Critical Commentary),R. McL. Wilson,5,567044718,9.78E+12,eng,512,1,0,12-07-2005,T&T Clark Int'l,
23276,Taxation of Mineral Rents,Ross Garnaut,5,198284543,9.78E+12,eng,350,1,0,11/17/1983,Oxford University Press  USA,
23552,The New Big Book of America,Todd Davis/Marc Frey,5,762412631,9.78E+12,eng,56,2,1,3/21/2002,Courage Books,
25426,Delwau Duon: Peintiadau Nicholas Evans = Symphonies in Black: The Paintings of Nicholas Evans,Nicholas    Evans/Rhonda  Evans,5,862431352,9.78E+12,wel,150,1,0,6/22/1987,Y Lolfa,
32823,Fanning the Flame: Bible  Cross  and Mission,Chris    Green/Chris Wright/Paul Douglas Gardner,5,310249872,9.78E+12,eng,336,1,1,6/17/2003,Zondervan,
36492,Oliver Wendell Holmes in Paris: Medicine  Theology  and the Autocrat of the Breakfast Table,William C. Dowling,5,1584655801,9.78E+12,eng,179,1,1,2/28/2007,University Press of New England,
36853,Tyrannosaurus Wrecks (Stanley  #1),Laura Driscoll/Alisa Klayman-Grodsky/Eric     Weiner,5,786845031,9.78E+12,eng,24,2,1,02-01-2003,Disney Press,
38804,The Irish Anatomist: A Study of Flann O'Brien,Keith Donohue,5,1930901356,9.78E+12,eng,222,1,0,7/25/2003,Academica Press,
39580,The American Campaign: U.S. Presidential Campaigns and the National Vote,James E. Campbell,5,089096940X,9.78E+12,eng,314,0,0,05-01-2000,Texas A&M University Press,
39829,His Princess Devotional: A Royal Encounter With Your King,Sheri Rose Shepherd,5,1590529626,9.78E+12,eng,240,2,0,10/16/2007,Multnomah,
41639,Bill Gates: Computer Legend (Famous Lives),Sara Barton-Wood,5,739844326,9.78E+12,eng,48,0,0,11-01-2001,Raintree,
15705,Existential Meditation,Simon Cleveland,4.91,1411665309,9.78E+12,eng,100,11,3,12/22/2005,Lulu.com,
37424,Little Big Book for God's Children,Alice Wong/Lena Tabori,4.88,094180755X,9.78E+12,en-US,352,8,0,09-01-2001,Welcome Books,
22235,Stargirl LitPlans on CD,Mary B. Collins,4.86,158337292X,9.78E+12,eng,210,5,0,9/15/2005,Teacher's Pet Publications,
39382,Corvette,Jerry Burton,4.83,883631210,9.78E+12,eng,320,6,1,10-01-2006,Universe Publishing(NY),
24812,The Complete Calvin and Hobbes,Bill Watterson,4.82,740748475,9.78E+12,eng,1456,32213,930,09-06-2005,Andrews McMeel Publishing,
17277,The Feynman Lectures on Physics Vols 7-8,Richard P. Feynman,4.8,738209279,9.78E+12,en-US,0,20,0,01-03-2006,Basic Books,
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584,9.78E+12,eng,2690,41428,164,9/13/2004,Scholastic,
26410,Wissenschaft der Logik: Die Lehre Vom Begriff (1816),Georg Wilhelm Friedrich Hegel,4.78,3787307672,9.78E+12,ger,337,0,0,01-01-1994,F. Meiner,
24814,It's a Magical World (Calvin and Hobbes  #11),Bill Watterson,4.76,836221362,9.78E+12,eng,176,23875,303,09-01-1996,Andrews McMeel Publishing,
